Time,Robot,Move
211.439,robot18,start
211.439,robot18,stop
214.939,robot18,mov_cte
216.539,robot18,C1
219.238,robot18,stop
223.039,robot18,mov_cte
245.489,robot18,C4
247.139,robot18,stop
253.889,robot18,mov_cte
275.089,robot18,C9
276.539,robot18,stop
282.339,robot18,mov_cte
302.689,robot18,C15
304.339,robot18,stop
314.039,robot18,mov_cte
333.889,robot18,C16
335.139,robot18,stop
342.639,robot18,mov_cte
366.439,robot18,C21
367.439,robot18,stop
369.139,robot18,mov_cte
393.689,robot18,C20
395.539,robot18,stop
404.039,robot18,mov_cte
424.989,robot18,C23
428.039,robot18,stop
430.239,robot18,end
194.963,robot3,start
194.963,robot3,stop
201.063,robot3,mov_cte
203.763,robot3,C1
208.713,robot3,stop
211.362,robot3,mov_cte
232.913,robot3,C4
234.863,robot3,stop
236.863,robot3,mov_cte
260.162,robot3,C9
261.363,robot3,stop
263.463,robot3,mov_cte
288.013,robot3,C8
289.663,robot3,stop
291.963,robot3,mov_cte
316.063,robot3,C14
317.863,robot3,stop
323.263,robot3,mov_cte
347.363,robot3,C15
348.863,robot3,stop
351.163,robot3,mov_cte
372.063,robot3,C16
373.663,robot3,stop
376.063,robot3,mov_cte
398.063,robot3,C17
399.663,robot3,stop
403.663,robot3,mov_cte
427.563,robot3,C22
429.162,robot3,stop
430.762,robot3,mov_cte
454.413,robot3,stop
455.163,robot3,mov_cte
457.663,robot3,C21
459.263,robot3,stop
461.463,robot3,mov_cte
482.563,robot3,C20
486.463,robot3,stop
489.863,robot3,mov_cte
491.063,robot3,stop
491.913,robot3,mov_cte
510.763,robot3,C23
514.162,robot3,stop
517.213,robot3,end
394.799,robot9,start
394.799,robot9,stop
397.999,robot9,mov_cte
400.749,robot9,C1
404.499,robot9,stop
407.799,robot9,mov_cte
442.299,robot9,C4
444.999,robot9,stop
448.949,robot9,mov_cte
479.799,robot9,C9
481.799,robot9,stop
490.649,robot9,mov_cte
521.199,robot9,C8
523.799,robot9,stop
526.799,robot9,mov_cte
557.749,robot9,C14
559.799,robot9,stop
562.949,robot9,mov_cte
564.299,robot9,stop
564.499,robot9,mov_cte
595.049,robot9,C15
597.299,robot9,stop
604.999,robot9,mov_cte
629.899,robot9,stop
630.649,robot9,mov_cte
635.199,robot9,stop
635.349,robot9,mov_cte
640.849,robot9,C16
642.699,robot9,stop
644.699,robot9,mov_cte
675.649,robot9,C17
678.099,robot9,stop
682.899,robot9,mov_cte
714.149,robot9,C22
716.498,robot9,stop
721.649,robot9,mov_cte
753.649,robot9,C21
755.499,robot9,stop
763.149,robot9,mov_cte
793.949,robot9,C20
796.199,robot9,stop
802.149,robot9,mov_cte
833.099,robot9,C23
837.799,robot9,stop
842.749,robot9,end
226.799,robot19,start
226.799,robot19,stop
229.899,robot19,mov_cte
232.549,robot19,C1
234.449,robot19,stop
235.549,robot19,mov_cte
257.599,robot19,C4
259.149,robot19,stop
260.799,robot19,mov_cte
284.249,robot19,C9
285.449,robot19,stop
289.949,robot19,mov_cte
309.899,robot19,C15
311.549,robot19,stop
314.649,robot19,mov_cte
336.149,robot19,C16
337.449,robot19,stop
342.348,robot19,mov_cte
364.349,robot19,C17
366.249,robot19,stop
374.999,robot19,mov_cte
398.149,robot19,C22
399.848,robot19,stop
402.849,robot19,mov_cte
426.049,robot19,C21
427.648,robot19,stop
433.399,robot19,mov_cte
447.649,robot19,stop
450.449,robot19,end
206.794,robot12,start
206.794,robot12,stop
207.944,robot12,mov_cte
209.544,robot12,C1
212.344,robot12,stop
214.744,robot12,mov_cte
239.944,robot12,C4
241.744,robot12,stop
246.944,robot12,mov_cte
269.744,robot12,C9
271.044,robot12,stop
276.044,robot12,mov_cte
296.494,robot12,C15
298.344,robot12,stop
301.044,robot12,mov_cte
324.194,robot12,C16
325.644,robot12,stop
331.244,robot12,mov_cte
353.944,robot12,C17
355.744,robot12,stop
358.844,robot12,mov_cte
381.894,robot12,C22
383.944,robot12,stop
386.044,robot12,mov_cte
410.594,robot12,C21
411.844,robot12,stop
441.244,robot12,mov_cte
462.344,robot12,C20
463.844,robot12,stop
471.544,robot12,mov_cte
492.894,robot12,C23
495.544,robot12,stop
499.144,robot12,end
199.447,robot1,start
199.447,robot1,stop
200.597,robot1,mov_cte
202.897,robot1,C1
205.147,robot1,stop
207.647,robot1,mov_cte
229.397,robot1,C4
230.947,robot1,stop
233.347,robot1,mov_cte
255.797,robot1,C9
257.147,robot1,stop
263.297,robot1,mov_cte
284.547,robot1,stop
285.347,robot1,mov_cte
286.197,robot1,C8
287.847,robot1,stop
289.647,robot1,mov_cte
310.597,robot1,C14
312.247,robot1,stop
318.846,robot1,mov_cte
339.647,robot1,C15
341.046,robot1,stop
347.047,robot1,mov_cte
366.697,robot1,C16
368.247,robot1,stop
373.047,robot1,mov_cte
393.397,robot1,C17
395.147,robot1,stop
400.047,robot1,mov_cte
420.197,robot1,C22
422.247,robot1,stop
429.647,robot1,mov_cte
451.497,robot1,C21
452.647,robot1,stop
455.347,robot1,mov_cte
474.197,robot1,C20
475.647,robot1,stop
482.147,robot1,mov_cte
501.397,robot1,C23
504.447,robot1,stop
506.347,robot1,end
215.147,robot6,start
215.147,robot6,stop
220.098,robot6,mov_cte
222.847,robot6,C1
226.998,robot6,stop
229.398,robot6,mov_cte
259.148,robot6,C4
261.098,robot6,stop
264.898,robot6,mov_cte
292.448,robot6,C9
294.048,robot6,stop
302.498,robot6,mov_cte
327.248,robot6,C8
329.348,robot6,stop
336.648,robot6,mov_cte
361.198,robot6,C14
362.898,robot6,stop
371.848,robot6,mov_cte
397.048,robot6,C15
398.747,robot6,stop
411.848,robot6,mov_cte
435.798,robot6,C16
437.748,robot6,stop
471.848,robot6,mov_cte
497.448,robot6,C17
499.748,robot6,stop
505.848,robot6,mov_cte
531.297,robot6,C22
533.248,robot6,stop
540.747,robot6,mov_cte
567.998,robot6,C21
569.648,robot6,stop
574.748,robot6,mov_cte
598.748,robot6,C20
600.748,robot6,stop
602.948,robot6,mov_cte
627.848,robot6,C23
631.548,robot6,stop
635.798,robot6,end
209.012,robot2,start
209.012,robot2,stop
209.363,robot2,mov_cte
212.062,robot2,C1
216.213,robot2,stop
219.763,robot2,mov_cte
257.212,robot2,C4
259.913,robot2,stop
278.813,robot2,mov_cte
320.063,robot2,C9
322.463,robot2,stop
332.563,robot2,mov_cte
373.713,robot2,C8
377.313,robot2,stop
381.063,robot2,mov_cte
420.463,robot2,C14
423.112,robot2,stop
432.663,robot2,mov_cte
472.763,robot2,C15
475.613,robot2,stop
480.463,robot2,mov_cte
518.363,robot2,C16
520.913,robot2,stop
527.663,robot2,mov_cte
568.613,robot2,C17
572.013,robot2,stop
577.963,robot2,mov_cte
617.663,robot2,C22
620.613,robot2,stop
623.763,robot2,mov_cte
664.913,robot2,C21
667.013,robot2,stop
675.363,robot2,mov_cte
697.663,robot2,stop
697.963,robot2,mov_cte
715.163,robot2,C20
717.713,robot2,stop
722.263,robot2,mov_cte
758.663,robot2,C23
764.913,robot2,stop
768.063,robot2,end
213.07,robot11,start
213.07,robot11,stop
218.771,robot11,mov_cte
220.421,robot11,C1
222.721,robot11,stop
227.371,robot11,mov_cte
250.971,robot11,C4
252.771,robot11,stop
258.071,robot11,mov_cte
282.521,robot11,C9
283.171,robot11,stop
284.221,robot11,mov_cte
285.071,robot11,stop
286.971,robot11,mov_cte
306.521,robot11,C15
308.271,robot11,stop
323.321,robot11,mov_cte
344.721,robot11,C16
346.171,robot11,stop
352.221,robot11,mov_cte
373.221,robot11,C17
375.07,robot11,stop
380.821,robot11,mov_cte
403.821,robot11,C22
405.77,robot11,stop
413.771,robot11,mov_cte
434.621,robot11,C21
436.171,robot11,stop
441.671,robot11,mov_cte
462.421,robot11,C20
464.371,robot11,stop
470.171,robot11,mov_cte
490.021,robot11,C23
493.071,robot11,stop
498.171,robot11,end
195.372,robot4,start
195.372,robot4,stop
204.022,robot4,mov_cte
206.772,robot4,C1
210.772,robot4,stop
217.772,robot4,mov_cte
239.122,robot4,C4
240.871,robot4,stop
244.822,robot4,mov_cte
268.722,robot4,C9
270.072,robot4,stop
275.022,robot4,mov_cte
299.573,robot4,C8
301.872,robot4,stop
308.222,robot4,mov_cte
331.872,robot4,C14
333.271,robot4,stop
334.822,robot4,mov_cte
359.922,robot4,C15
361.672,robot4,stop
363.772,robot4,mov_cte
385.121,robot4,C16
386.972,robot4,stop
392.472,robot4,mov_cte
414.422,robot4,C17
416.272,robot4,stop
418.322,robot4,mov_cte
445.522,robot4,C22
447.571,robot4,stop
449.722,robot4,mov_cte
474.072,robot4,C21
475.672,robot4,stop
480.521,robot4,mov_cte
503.072,robot4,C20
504.772,robot4,stop
506.622,robot4,mov_cte
530.472,robot4,C23
533.771,robot4,stop
536.922,robot4,end
223.118,robot20,start
223.118,robot20,stop
228.418,robot20,mov_cte
230.918,robot20,C1
233.168,robot20,stop
237.167,robot20,mov_cte
259.718,robot20,C4
261.168,robot20,stop
264.168,robot20,mov_cte
285.768,robot20,C9
286.968,robot20,stop
292.168,robot20,mov_cte
312.068,robot20,C15
313.768,robot20,stop
319.318,robot20,mov_cte
341.867,robot20,C16
343.468,robot20,stop
350.468,robot20,mov_cte
373.218,robot20,C21
374.668,robot20,stop
377.118,robot20,mov_cte
400.318,robot20,C20
401.668,robot20,stop
404.168,robot20,mov_cte
425.868,robot20,C23
428.968,robot20,stop
430.768,robot20,end
310.175,robot10,start
310.175,robot10,stop
323.025,robot10,mov_cte
324.375,robot10,C1
326.625,robot10,stop
329.325,robot10,mov_cte
352.175,robot10,C4
353.725,robot10,stop
356.225,robot10,mov_cte
378.825,robot10,C9
380.025,robot10,stop
382.225,robot10,mov_cte
405.225,robot10,C8
406.925,robot10,stop
411.125,robot10,mov_cte
430.825,robot10,C14
432.525,robot10,stop
435.775,robot10,mov_cte
457.525,robot10,C15
458.625,robot10,stop
461.125,robot10,mov_cte
482.425,robot10,C16
484.425,robot10,stop
490.425,robot10,mov_cte
512.425,robot10,C17
514.125,robot10,stop
549.525,robot10,mov_cte
572.474,robot10,C22
574.025,robot10,stop
577.925,robot10,mov_cte
600.675,robot10,C21
601.825,robot10,stop
604.825,robot10,mov_cte
626.625,robot10,C20
628.025,robot10,stop
634.125,robot10,mov_cte
655.425,robot10,C23
658.625,robot10,stop
663.325,robot10,end
205.105,robot14,start
205.105,robot14,stop
207.355,robot14,mov_cte
208.955,robot14,C1
211.355,robot14,stop
213.055,robot14,mov_cte
237.805,robot14,C4
239.254,robot14,stop
240.855,robot14,mov_cte
262.855,robot14,C9
264.155,robot14,stop
269.455,robot14,mov_cte
289.705,robot14,C15
291.255,robot14,stop
295.555,robot14,mov_cte
318.405,robot14,C16
319.655,robot14,stop
327.055,robot14,mov_cte
348.455,robot14,C17
349.955,robot14,stop
352.455,robot14,mov_cte
374.255,robot14,C22
375.955,robot14,stop
381.555,robot14,mov_cte
404.105,robot14,C21
405.355,robot14,stop
411.055,robot14,mov_cte
431.355,robot14,C20
432.655,robot14,stop
434.655,robot14,mov_cte
458.155,robot14,C23
461.105,robot14,stop
461.955,robot14,mov_cte
462.555,robot14,stop
466.155,robot14,end
230.095,robot8,start
230.095,robot8,stop
232.044,robot8,mov_cte
233.495,robot8,C1
235.845,robot8,stop
240.645,robot8,mov_cte
265.645,robot8,C4
267.245,robot8,stop
271.845,robot8,mov_cte
295.995,robot8,C9
297.645,robot8,stop
302.645,robot8,mov_cte
325.945,robot8,C8
328.045,robot8,stop
332.145,robot8,mov_cte
356.095,robot8,C14
357.945,robot8,stop
363.295,robot8,mov_cte
386.195,robot8,C15
387.645,robot8,stop
393.745,robot8,mov_cte
415.095,robot8,C16
416.845,robot8,stop
423.645,robot8,mov_cte
446.445,robot8,C17
448.545,robot8,stop
455.445,robot8,mov_cte
479.145,robot8,C22
481.145,robot8,stop
490.045,robot8,mov_cte
513.495,robot8,C21
515.245,robot8,stop
520.345,robot8,mov_cte
543.695,robot8,C20
545.845,robot8,stop
548.445,robot8,mov_cte
571.545,robot8,C23
575.245,robot8,stop
576.995,robot8,end
207.732,robot16,start
207.732,robot16,stop
212.482,robot16,mov_cte
214.182,robot16,C1
216.382,robot16,stop
217.982,robot16,mov_cte
241.582,robot16,C4
243.282,robot16,stop
246.781,robot16,mov_cte
269.031,robot16,C9
270.582,robot16,stop
275.682,robot16,mov_cte
296.632,robot16,C15
298.282,robot16,stop
301.482,robot16,mov_cte
325.982,robot16,C16
327.582,robot16,stop
330.382,robot16,mov_cte
353.932,robot16,C21
355.182,robot16,stop
359.932,robot16,mov_cte
383.082,robot16,C20
384.481,robot16,stop
387.032,robot16,mov_cte
408.932,robot16,C23
412.382,robot16,stop
414.382,robot16,end
288.974,robot7,start
288.974,robot7,stop
306.024,robot7,mov_cte
308.724,robot7,C1
312.874,robot7,stop
317.724,robot7,mov_cte
355.823,robot7,C4
358.674,robot7,stop
374.874,robot7,mov_cte
406.724,robot7,C9
408.024,robot7,stop
412.624,robot7,mov_cte
443.074,robot7,C8
445.424,robot7,stop
450.774,robot7,mov_cte
477.323,robot7,C14
479.424,robot7,stop
485.624,robot7,mov_cte
516.524,robot7,C15
518.924,robot7,stop
525.274,robot7,mov_cte
551.124,robot7,C16
552.924,robot7,stop
561.574,robot7,mov_cte
589.324,robot7,C17
591.524,robot7,stop
597.774,robot7,mov_cte
624.924,robot7,C22
627.024,robot7,stop
633.974,robot7,mov_cte
661.374,robot7,C21
662.724,robot7,stop
666.874,robot7,mov_cte
694.024,robot7,C20
696.524,robot7,stop
699.874,robot7,mov_cte
725.174,robot7,C23
729.324,robot7,stop
732.874,robot7,end
212.581,robot17,start
212.581,robot17,stop
215.081,robot17,mov_cte
216.681,robot17,C1
219.031,robot17,stop
221.131,robot17,mov_cte
243.081,robot17,C4
244.731,robot17,stop
250.181,robot17,mov_cte
272.881,robot17,C9
273.631,robot17,stop
276.231,robot17,mov_cte
300.031,robot17,C15
301.431,robot17,stop
306.831,robot17,mov_cte
328.03,robot17,C16
329.831,robot17,stop
332.331,robot17,mov_cte
354.081,robot17,stop
354.831,robot17,C21
354.881,robot17,mov_cte
357.331,robot17,stop
362.88,robot17,mov_cte
385.231,robot17,C20
386.931,robot17,stop
391.631,robot17,mov_cte
411.381,robot17,C23
414.831,robot17,stop
417.131,robot17,end
193.279,robot5,start
193.279,robot5,stop
205.982,robot5,mov_cte
208.682,robot5,C1
212.532,robot5,stop
214.282,robot5,mov_cte
238.081,robot5,C4
239.632,robot5,stop
246.082,robot5,mov_cte
266.082,robot5,C9
267.332,robot5,stop
268.782,robot5,mov_cte
290.682,robot5,C8
292.532,robot5,stop
295.282,robot5,mov_cte
315.381,robot5,C14
316.882,robot5,stop
318.381,robot5,mov_cte
339.532,robot5,C15
341.031,robot5,stop
342.682,robot5,mov_cte
362.382,robot5,C16
364.232,robot5,stop
366.182,robot5,mov_cte
385.332,robot5,C17
387.332,robot5,stop
389.282,robot5,mov_cte
409.632,robot5,C22
412.082,robot5,stop
413.982,robot5,mov_cte
434.082,robot5,C21
435.731,robot5,stop
438.182,robot5,mov_cte
457.282,robot5,C20
458.732,robot5,stop
462.782,robot5,mov_cte
481.432,robot5,C23
484.332,robot5,stop
487.732,robot5,end
213.956,robot13,start
213.956,robot13,stop
216.156,robot13,mov_cte
217.456,robot13,C1
219.956,robot13,stop
226.456,robot13,mov_cte
246.656,robot13,C4
248.356,robot13,stop
255.706,robot13,mov_cte
279.056,robot13,C9
280.456,robot13,stop
286.056,robot13,mov_cte
306.706,robot13,C15
308.256,robot13,stop
315.656,robot13,mov_cte
335.656,robot13,C16
337.056,robot13,stop
339.656,robot13,mov_cte
362.106,robot13,C17
363.956,robot13,stop
370.256,robot13,mov_cte
390.706,robot13,C22
392.356,robot13,stop
397.456,robot13,mov_cte
419.456,robot13,C21
421.156,robot13,stop
428.356,robot13,mov_cte
449.205,robot13,C20
450.756,robot13,stop
453.356,robot13,mov_cte
471.806,robot13,C23
474.856,robot13,stop
478.056,robot13,end
209.052,robot15,start
209.052,robot15,stop
210.952,robot15,mov_cte
212.552,robot15,C1
215.152,robot15,stop
216.952,robot15,mov_cte
242.352,robot15,C4
243.952,robot15,stop
246.952,robot15,mov_cte
271.352,robot15,C9
272.652,robot15,stop
274.752,robot15,mov_cte
295.302,robot15,C15
296.952,robot15,stop
309.902,robot15,mov_cte
333.152,robot15,C16
334.652,robot15,stop
341.802,robot15,mov_cte
364.202,robot15,C21
365.451,robot15,stop
372.602,robot15,mov_cte
395.402,robot15,C20
396.952,robot15,stop
401.602,robot15,mov_cte
421.302,robot15,C23
424.552,robot15,stop
426.502,robot15,end
